,0
28,"
March 11, 2020 at 6:59 Expect generally stable snow again today since cool winds and some afternoon cloud cover should limit warming. Some small wet snow instabilities are not impossible on isolated terrain features in areas where cloud cover does not block the sun in the north or where rain might fall on the snowpack in the south. LOW avalanche danger exists at all elevations.
"
29,"
March 10, 2020 at 6:59 Cool winds and increasing cloud cover from the south should keep significant avalanche activity unlikely today. Some small wet snow instabilities are not impossible on isolated terrain features sheltered from the wind where cloud cover does not block the sun. LOW avalanche danger exists at all elevations.
"
30,"
March 9, 2020 at 6:53 Normal Caution is advised keeping an eye out for unlikely isolated instability where wind drifted snow has deposited just off of ridgetops and sub ridges, especially below cornice features in above treeline and near treeline terrain. LOW avalanche danger is forecast on a regional scale for all elevations.
"
31,"
February 25, 2020 at 6:51 Well above average temperatures will allow for loose wet instabilities to form as daytime warming occurs today.  Firm snow conditions continue with potential fall hazards possible.  LOW avalanche danger exists.
"
32,"
February 24, 2020 at 6:59 A shallow layer of wet surface snow should form on sun-exposed slopes today, but it should not get deep enough for significant wet loose avalanche activity. Shady slopes may remain firm all day. LOW avalanche danger exists with normal caution advised.
"
33,"
February 23, 2020 at 6:59 Enough warming should occur for many sun-exposed slopes to soften today, but it should not get warm enough for significant wet loose instabilities to form. Some slopes may remain firm and challenging to recreate on. LOW avalanche danger exists with normal caution advised.
"
34,"
February 22, 2020 at 6:54 Highly variable conditions are expected today with sunshine and snow surface melt in some locations and very light snowfall and frozen all day surfaces in other locations. Areas of very firm snow surfaces exist with a potential sliding fall hazard. LOW avalanche danger exists with normal caution advised.
"
35,"
February 21, 2020 at 6:57 Snow surface melt leading to small areas of loose wet instabilities during the afternoon hours is unlikely but not impossible on slopes with direct sun exposure, wind protection, and minimal cloud cover. Areas of very firm snow surfaces exist with a potential sliding fall hazard. LOW avalanche danger exists with normal caution advised.
"
36,"
February 20, 2020 at 6:56 Snow surface melt could allow for small areas of loose wet instabilities to form during the afternoon hours on slopes with direct sun exposure, wind protection, and minimal cloud cover. Areas of very firm snow surfaces exist with a potential sliding fall hazard. LOW avalanche danger exists with normal caution advised.
"
37,"
February 19, 2020 at 6:51 Firm snow conditions with potential fall hazards will continue to exist throughout the forecast region.  Some areas of soft spring snow should develop at low to mid elevations today.  Normal caution is advised with LOW avalanche danger expected.
"
38,"
February 18, 2020 at 6:52 Firm snow conditions are expected in many areas with some locations softening throughout the day.  Sliding falls on firm snow remain a hazard.  LOW avalanche danger continues with normal caution advised.
"
39,"
February 17, 2020 at 6:59 Refrozen surfaces may take longer to soften today because of cooler temperatures and NE winds. Significant loose wet instabilities should remain unlikely. Careful timing and terrain selection can help find softer snow and avoid firm snow surfaces where long sliding falls could occur. The avalanche danger will remain LOW. 
"
40,"
February 16, 2020 at 6:59 Some soft wet snow may form on wind-protected slopes today, but significant loose wet instabilities are unlikely due to increased cloud cover and wind. Widespread firm snow surfaces mean long sliding falls or collisions with exposed obstacles pose a greater threat to backcountry travelers than avalanche activity today. The avalanche danger will remain LOW. 
"
41,"
February 15, 2020 at 6:57 Snow surface melt could allow for small areas of loose wet instabilities to form during the afternoon hours on wind protected slopes with direct sun exposure. Areas of very firm snow surfaces exist with a potential sliding fall hazard. LOW avalanche danger exists with normal caution advised.
"
42,"
February 14, 2020 at 6:42 Snow surface melt could allow for small areas of loose wet instabilities to form during the afternoon hours on slopes with direct sun exposure. Areas of very firm snow surfaces exist with a potential sliding fall hazard. LOW avalanche danger exists with normal caution advised.
"
43,"
February 13, 2020 at 6:50 Snow surface melt could allow for small areas of loose wet instabilities to form on slopes with direct sun exposure during the afternoon hours. Areas of very firm snow surfaces exist with a potential sliding fall hazard. LOW avalanche danger exists with normal caution advised.
"
44,"
February 12, 2020 at 6:52 Warming temperatures with decreasing winds could allow for small loose wet instabilities to form during the midday hours.  Areas of firm snow continue with potential falling hazards.  LOW avalanche danger exists with normal caution advised.
"
45,"
February 11, 2020 at 6:58 Sunny conditions with elevated winds will continue today.  Firm and variable snow surfaces exist throughout the backcountry providing challenging travel conditions.  LOW avalanche danger exists at all elevations with normal caution advised.
"
46,"
February 10, 2020 at 7:00 Firm surfaces, breakable crusts, and continued NE winds will continue to vex backcountry travelers today. Mostly frozen snow surfaces and very little new snow for the wind to blow around should keep significant avalanche activity unlikely today. LOW avalanche danger exists at all elevations.
"
47,"
February 9, 2020 at 6:59 While blowing snow may be present today, significant avalanche activity should remain unlikely since old snow should remain frozen and new snow accumulation should remain limited. Variable firm snow conditions and gale force NE winds represent the main challenges for backcountry travelers today. LOW avalanche danger exists at all elevations.
"
48,"
February 5, 2020 at 6:54 A warming trend beginning today will start to allow the snow surface to soften with the potential for small loose wet instabilities.  Normal caution is advised with LOW avalanche danger expected throughout the forecast region.
"
49,"
February 4, 2020 at 6:58 Cold temperatures and gale force winds will continue today at the higher elevations.  Small wind slabs in isolated areas may exist in near and above treeline areas with firm crusts at most elevations.  LOW avalanche danger is expected today.
"
50,"
February 3, 2020 at 6:57 Firm icy surfaces on exposed slopes and variable conditions on sheltered slopes will represent today's main concerns for backcountry travelers. Significant avalanche activity should remain unlikely due to the limited amount of new snow that accumulated. LOW avalanche danger exists at all elevations.
"
51,"
February 2, 2020 at 7:00 Significant avalanche activity should remain unlikely today since old snow should remain frozen and the forecast only calls for limited amounts of new snow. Variable and firm snow conditions in the backcountry could present challenges for backcountry travelers. LOW avalanche danger exists at all elevations.
"
52,"
January 30, 2020 at 6:42 Shallow, difficult to trigger slabs of wind drifted snow exist near treeline and above treeline. Warming conditions and snow surface melt will allow for rollerballs and maybe some small loose wet avalanches. Isolated small avalanches may occur today, well within the definition of today's forecast of LOW avalanche danger for all elevations.
"
53,"
January 8, 2020 at 7:00 New snow with high winds has made wind slab avalanches possible in near and above treeline areas.  LOW avalanche danger will continue in below treeline terrain.  Active weather is forecasted to continue for our area.
"
54,"
January 7, 2020 at 6:58 Avalanches continue to be unlikely throughout the forecast area, LOW avalanche danger exists at all elevations.  Normal caution is advised when traveling in the backcountry.  A more active weather pattern is forecasted to start late tonight with increasing chances of snow into the weekend. 
"
55,"
January 6, 2020 at 6:54 LOW avalanche danger will continue throughout the forecast area with avalanches unlikely today.  Normal caution is advised when traveling in the backcountry.
"
56,"
January 5, 2020 at 6:57 Triggering an avalanche remains unlikely on a regional scale. LOW avalanche danger does not mean no avalanche danger. Some areas of unstable wind drifted snow or cornices may still linger on isolated terrain features especially in complex or extreme terrain. Focus on using safe travel techniques, maintaining awareness, and having open discussions with your partners to avoid getting complacent.
"
57,"
January 4, 2020 at 7:00 On a regional scale, LOW avalanche danger exists for all elevations. Small, isolated areas of unstable snow from either wind drifted slabs or warming wet snow may or may not exist today. Don't let the danger rating lull you into complacency.
"
58,"
January 3, 2020 at 6:59 On a regional scale, LOW avalanche danger exists for all elevations. An isolated unstable area may be out there in the form of wind drifted snow or warming wet snow. However unlikely it is to trigger an avalanche today on a regional scale, today is not a no danger scenario.
"
59,"
December 4, 2019 at 6:52 LOW avalanche danger will exist throughout the forecast region at all elevations.  Normal caution is advised.
"
60,"
April 21, 2019 at 6:30 LOW avalanche danger exists this morning while the snow surface is frozen and supportable. As daytime warming progresses, MODERATE avalanche danger will develop at all elevations as the snow surface melts and a loose wet avalanche problem develops. Please note that this is the last avalanche forecast for the 2018-2019 season.
"
61,"
April 19, 2019 at 6:59 A short period of LOW avalanche danger will exist while the snow remains supportable early this morning. The danger will quickly increase to MODERATE as loose wet avalanche problems become possible due to warm temperatures, strong sunshine, and a weak overnight refreeze. 
"
62,"
April 18, 2019 at 6:59 LOW avalanche danger will exist at all elevations while the snow surface remains frozen this morning. The avalanche danger will quickly increase to MODERATE and loose wet avalanches will become possible as the day warms up. 
"
63,"
April 17, 2019 at 6:52 LOW avalanche danger will transition to MODERATE avalanche danger as solar radiation and warming quickly increase this morning.  Loose wet avalanches will be likely at all elevations today.
"
64,"
April 15, 2019 at 6:45 LOW avalanche danger will transition to MODERATE avalanche danger as the likelihood of loose wet and wind slab avalanche problems increase throughout the day.
"
65,"
April 14, 2019 at 6:49 LOW avalanche danger will transition to MODERATE avalanche danger at all elevations today in response to daytime warming. As last night's snow surface refreeze becomes unsupportable, a loose wet avalanche problem will develop at all elevations.
"
66,"
April 13, 2019 at 6:59 LOW avalanche danger will exist while the snow remains frozen and supportable early this morning. The danger will quickly increase to MODERATE as loose wet avalanche problems become possible due to rapid warming and strong sunshine. 
"
67,"
April 12, 2019 at 6:59 LOW avalanche danger will exist this morning while the snow surface remains frozen and firm. As the day warms up and the frozen snow starts to soften and melt, the avalanche danger may increase to MODERATE. Some loose wet avalanche problems could become possible if enough daytime warming occurs. 
"
68,"
April 11, 2019 at 6:59 The avalanche danger should remain LOW for all elevations due to a good overnight refreeze and cooler weather with minimal amounts of new snow today. Firm icy surfaces may exist on many open slopes. Use normal caution when traveling in the backcountry. 
"
69,"
April 10, 2019 at 6:58 Sunny conditions are expected for today.  LOW avalanche danger this morning will increase to MODERATE avalanche danger as daytime warming occurs due to a loose wet avalanche problem. 
"
70,"
April 5, 2019 at 6:57 The avalanche danger should remain LOW for near and above treeline areas since wind slab formation should remain limited due to meager snowfall amounts. Below treeline potential rain on snow and warmer temperatures will keep the avalanche danger at MODERATE since loose wet avalanches may be possible.
"
71,"
April 1, 2019 at 6:46 LOW avalanche danger exists for all elevations. Isolated loose wet avalanches may occur today.
"
72,"
March 31, 2019 at 6:46 LOW avalanche danger early this morning will increase to MODERATE avalanche danger at all elevations as the day progresses. A loose wet avalanche problem will develop in response to daytime warming.
"
73,"
March 30, 2019 at 6:59 LOW danger will increase to MODERATE avalanche danger at all elevations today as the day warms up. Loose wet avalanches will represent today's main avalanche problem, but some isolated and unlikely wind slab problems may also still exist in a few areas. 
"
74,"
March 23, 2019 at 6:59 LOW avalanche danger exists in sheltered areas and in below treeline terrain. In more exposed near and above treeline areas, MODERATE avalanche danger may form due to some possible wind slab avalanche problems.
"
75,"
March 22, 2019 at 6:59 The avalanche danger should remain LOW today unless more warming occurs than forecasted. In that case, loose wet avalanche problems could develop.
"
76,"
March 19, 2019 at 6:57 LOW avalanche danger this morning will transition to MODERATE avalanche danger as daytime warming occurs.  A loose wet avalanche problem will be possible at all elevations today. 
"
77,"
March 18, 2019 at 6:47 LOW avalanche danger early this morning will give way to MODERATE avalanche danger at all elevations today as a loose wet avalanche problem develops in response to rapid daytime warming.
"
78,"
March 17, 2019 at 6:41 LOW avalanche danger early this morning will give way to MODERATE avalanche danger at all elevations today as a loose wet avalanche problem develops in response to rapid daytime warming.
"
79,"
March 16, 2019 at 6:58 LOW avalanche danger will exist at all elevations this morning while the snowpack remains frozen. As the overnight refreeze melts, the danger will increase to MODERATE at all elevations due to the possibility of loose wet avalanche problems. 
"
80,"
February 23, 2019 at 6:45 Avalanche danger is LOW for all elevations. Watch for isolated areas of wind slab instability if blowing and drifting snow is encountered.
"
81,"
February 1, 2019 at 6:46 LOW avalanche danger will occur for most of today at all elevations. Following the onset of precipitation, the trend of increasing avalanche danger will begin with MODERATE avalanche danger forming tonight as wind slabs develop near treeline and above treeline. An avalanche watch has been issued for expected periods of HIGH avalanche danger Saturday morning into Tuesday morning.
"
82,"
January 31, 2019 at 6:59 The avalanche danger remains LOW for all elevations. Continue to use normal caution while traveling in the backcountry.
"
83,"
January 30, 2019 at 6:50 LOW avalanche danger exists at all elevations. Continue to use normal caution while traveling in the backcountry.
"
84,"
January 29, 2019 at 6:59 The avalanche danger remains LOW for all elevations. Continue to use normal caution while traveling in the backcountry.
"
85,"
January 28, 2019 at 6:48 LOW avalanche danger continues throughout the forecast region.  Normal caution is advised at all elevations.
"
86,"
January 27, 2019 at 6:45 LOW avalanche danger continues throughout the forecast area at all elevations.  Normal caution is advised.
"
87,"
January 26, 2019 at 6:46 LOW avalanche danger continues for all elevations. Isolated areas of unstable snow may exist. Consider how terrain exposure may increase the consequences of a small unexpected avalanche.
"
88,"
January 25, 2019 at 6:52 LOW avalanche danger exists for all elevations. Manage risk to minimize the consequences of triggering an unexpected avalanche. Plan for how terrain features may increase the consequences of a small avalanche.
"
89,"
January 24, 2019 at 7:00 LOW avalanche danger exists for all elevations today. ""LOW danger"" does not mean ""no danger"". Continue to use normal caution while traveling in the backcountry to minimize the chances of an unpleasant surprise.
"
90,"
January 12, 2019 at 6:58 Avalanche danger has been elevated from yesterday's LOW danger back up to MODERATE danger for today at all elevations due to uncertainty associated with a lingering persistent slab avalanche problem. Large destructive avalanches are possible again today, mainly in response to large triggers.
"
91,"
January 11, 2019 at 6:52 Avalanche danger is LOW for all elevations. Normal caution is advised.
"
92,"
January 5, 2019 at 6:57 LOW avalanche danger continues this morning for all elevations. Following the onset of snowfall, an increase to CONSIDERABLE avalanche danger will occur at all elevations this afternoon and continue through the overnight hours. Wind slab and storm slab avalanche problems will develop.
"
93,"
January 4, 2019 at 6:54 LOW avalanche danger continues today for all elevations. Avalanche danger will increase significantly tomorrow at all elevations following the onset of new snowfall.
"
94,"
January 3, 2019 at 6:50 LOW avalanche danger continues at all elevations throughout the forecast region.  Avalanche activity is unlikely today.  Normal caution is advised. 
"
95,"
January 2, 2019 at 6:50 LOW avalanche danger will continue throughout the forecast region at all elevations.  Normal caution is advised.
"
96,"
December 31, 2018 at 7:00 LOW avalanche danger exists for all elevations through New Year's Day. Even though avalanche activity is unlikely, other problems could arise resulting from the firm and challenging snow surface conditions on most exposed slopes. This forecast will be updated again on January 2, 2019.
"
97,"
December 30, 2018 at 7:00 LOW avalanche danger exists for all elevations today. While some difficult (but not impossible) to trigger wind slabs may still lurk in isolated near and above treeline terrain, human-triggered avalanches should remain unlikely in most places today.
"
98,"
December 29, 2018 at 6:46 Avalanche danger is LOW for all elevations. Difficult to trigger wind slabs exist in recently wind loaded areas, mainly near treeline and above treeline. Human triggered avalanches are unlikely today but not impossible.
"
99,"
December 23, 2018 at 6:59 The avalanche danger will remain LOW today. In the unlikely but not impossible event an avalanche does occur today, it would be a wind slab on an isolated terrain feature. The avalanche danger will increase tomorrow.
"
100,"
December 22, 2018 at 6:54 LOW avalanche danger exists today for all elevations. A wind slab avalanche problem lingers near and above treeline. Human triggered avalanches are not impossible today.
"
101,"
December 16, 2018 at 6:50 The avalanche danger will remain LOW and avalanche activity will remain unlikely until it starts snowing this evening. Continue to use normal caution when traveling in the backcountry especially in areas where old firm wind slabs may linger. The avalanche danger will increase quickly as snow starts to accumulate tonight and could reach CONSIDERABLE during the night.
"
102,"
December 15, 2018 at 6:53 LOW avalanche danger continues for all elevations. Avalanche activity is unlikely, but remain cautious if traveling in areas of firm wind slab.
"
103,"
December 14, 2018 at 6:45 LOW avalanche danger continues for all elevations. Avalanche activity remains unlikely, but keep an eye out for isolated instability in any areas where drifting snow accumulates.
"
104,"
December 7, 2018 at 6:50 LOW avalanche danger exists for all elevations. Normal caution is advised.
"
105,"
March 30, 2018 at 6:57 LOW avalanche danger this morning will quickly increase to MODERATE avalanche danger all elevations as the day warms up. Loose wet avalanche activity will become possible. 
"
106,"
March 12, 2018 at 6:57 Avalanche danger is LOW for all elevations. Small loose wet avalanches may occur today. Deep slab avalanches are very unlikely but not impossible on a regional scale.
"
107,"
March 11, 2018 at 6:57 Avalanche danger remains LOW for all elevations. Avalanche activity is unlikely on a regional scale. Isolated areas of unstable snow may exist somewhere within the forecast area. Small and mostly inconsequential loose wet instability may occur today. Deep slab avalanches are very unlikely but not impossible.
"
108,"
March 10, 2018 at 7:00 The avalanche danger will remain LOW for all elevations today since significant avalanche activity is unlikely. Unlikely does not mean impossible. Some unstable snow may still lurk on isolated terrain features somewhere in the forecast area in the form of a remotely possible but very unlikely deep slab problem or small and mostly inconsequential wet snow issues in lower elevation terrain.
"
109,"
February 18, 2018 at 6:48The avalanche danger will remain LOW for all elevations for most of the day. As new snow accumulates this evening and overnight the avalanche danger will increase to MODERATE in near and above treeline terrain due to newly formed wind slabs. In addition, dangerously cold temperatures with wind chills below zero could pose problems for anyone out in the backcountry tonight. 
"
110,"
February 17, 2018 at 6:48 LOW avalanche danger continues for all elevations within the forecast area. Normal caution is advised. Avalanche danger may increase Sunday evening.
"
111,"
February 16, 2018 at 6:48 LOW avalanche danger continues for all elevations within the forecast area. Normal caution is advised.
"
112,"
February 13, 2018 at 6:57 The avalanche danger should remain LOW today on a regional scale. Some very small, shallow wind slabs may exist on a few isolated terrain features in the most heavily wind-loaded areas in near and above treeline terrain.
"
113,"
February 12, 2018 at 6:55 The avalanche danger should remain LOW today. Despite the LOW danger rating, some very small, shallow wind slabs may lurk on isolated terrain features in near and above treeline terrain.
"
114,"
February 11, 2018 at 6:57 The avalanche danger will remain LOW for all elevations today and avalanche activity will remain unlikely. Other hazards still exist in the backcountry. Continue to use normal caution during backcountry travel. 
"
115,"
February 10, 2018 at 6:51 Avalanche danger is LOW for all elevations. There are no specific avalanche problems of concern. Normal caution is advised.
"
116,"
February 9, 2018 at 6:45 LOW avalanche danger continues for all elevations. Minor loose wet instabilities may form in response to daytime warming. Normal caution is advised.
"
117,"
February 6, 2018 at 6:56 The avalanche danger should remain LOW at all elevations today. Avalanche activity should remain unlikely. Some small loose wet instabilities may still form on isolated terrain features. 
"
118,"
February 5, 2018 at 6:58 LOW avalanche danger will exist at all elevations today. Daytime warming may allow some small loose wet avalanche problems to form on some isolated sun-exposed terrain features where snow coverage exists.
"
119,"
February 4, 2018 at 6:58 The avalanche danger will remain LOW today. Some small loose wet avalanche problems may still form on some isolated terrain features as the day warms up. Slab avalanches remain unlikely.
"
120,"
February 3, 2018 at 6:51 Avalanche danger is LOW for all elevations. Isolated areas of unstable snow will form today. Loose wet is the avalanche problem to look for and avoid. Slab avalanches are very unlikely today on a regional scale.
"
121,"
February 2, 2018 at 6:55 Avalanche danger is LOW for all elevations. Isolated areas of unstable snow will form today. Loose wet is the avalanche problem to look for and avoid. Slab avalanches are very unlikely today on a regional scale.
"
122,"
January 23, 2018 at 6:54 LOW avalanche danger exists at all elevations, but LOW danger does not mean no danger. An isolated persistent slab avalanche problem may still linger in a few areas. In the unlikely event that an isolated human-triggered persistent slab avalanche does occur, it could be large with significant consequences.
"
123,"
January 16, 2018 at 6:58 While the avalanche danger should remain LOW today due to the minimal snow accumulation expected, unstable snow may still exist in isolated areas due to lingering persistent slabs or very small pockets of newly formed wind slabs. If observations indicate that an isolated area of unstable snow may exist, choose different terrain. If more snow falls than forecasted, larger avalanche problems could exist and the avalanche danger could increase to MODERATE.
"
124,"
January 15, 2018 at 6:57 The avalanche danger remains LOW. Triggering an avalanche remains unlikely on a regional scale. LOW danger does not mean NO danger. Unstable snow may still exist in isolated areas due to lingering persistent slabs. Investigate the snowpack and determine if the persistent slab problem may still linger in your chosen area. If so or if you don't have enough data for a clear answer, chose a different area. Avalanche danger should increase tomorrow as a small storm impacts the area.
"
125,"
January 14, 2018 at 6:55 Triggering an avalanche has become unlikely on a regional scale; however, some unstable snow may still exist in isolated areas due to lingering persistent slab issues.  Avalanche danger is LOW for all elevations. Investigate the snowpack and determine if the area you want to travel in is one of those isolated places where the persistent slab problem may still linger. If so or if you don't have enough data for a clear answer, chose a different area. 
"
126,"
January 13, 2018 at 6:55 Avalanche danger is LOW for all elevations. While avalanche activity on a regional scale has become unlikely, human triggered persistent slab avalanches remain a concern in isolated areas.  Understanding if the avalanche problem does or does not exist within the snowpack on your terrain of interest should influence go/no go decision making much more than the regional scale danger rating.
"
127,"
January 12, 2018 at 6:57 Avalanche danger is LOW for all elevations. On a regional scale, triggering an avalanche has become unlikely. Localized, isolated areas of instability may still exist where a human triggered persistent slab or wind slab avalanche could occur. Identify the specific avalanche problem that may exist in the desired area of travel and take appropriate steps to manage it.
"
128,"
December 26, 2017 at 6:49 The avalanche danger remains LOW across the forecast area. Continue to use normal caution when traveling in the backcountry and watch for unstable snow on isolated terrain features especially in areas where small wind slabs exist on top of weaker snow. 
"
129,"
December 23, 2017 at 6:56 Avalanche danger is LOW for all elevations. Human triggering of avalanches is unlikely. Use the equipment and travel techniques associated with Normal Caution to help minimize the consequences of encountering an unexpected area of unstable snow.
"
130,"
December 22, 2017 at 6:55 Avalanche danger is LOW for all elevations and aspects. Small wind slabs exist in a variety of locations near and above treeline with human triggering unlikely. Look for and identify isolated areas of potential instability.
"
131,"
December 19, 2017 at 6:56 LOW avalanche danger will continue today. While triggering an avalanche remains unlikely, following safe travel protocols when in and around avalanche terrain remains a prudent choice. A winter storm forecasted to move into the area tonight and tomorrow will cause the avalanche danger to increase tomorrow and human triggered wind slab and storm slab avalanches may become an issue. If the storm moves in faster than expected, the avalanche danger could increase tonight. 
"
132,"
December 16, 2017 at 6:54 Avalanche danger is LOW for all elevations. On a regional scale, triggering an avalanche is unlikely. Signs of isolated, difficult to trigger slab instability continue to show both above and below treeline. Normal caution is advised.
"
133,"
December 15, 2017 at 6:50 Avalanche danger is LOW for all elevations. On a regional scale, triggering an avalanche is unlikely. Signs of isolated, difficult to trigger instability linger near and above treeline. Normal caution is advised.
"
134,"
December 14, 2017 at 6:37 LOW avalanche danger exists at all elevations today. Continue to assess the snowpack and terrain, and travel carefully in the backcountry. Numerous exposed and barely covered obstacles still exist. 
"
135,"
December 13, 2017 at 6:47 LOW avalanche danger exists at all elevations today. Triggering an avalanche is unlikely but not impossible. Continue to assess the snowpack and terrain, and travel carefully in the backcountry. Watch for lingering unstable snow on isolated terrain features.
"
136,"
December 12, 2017 at 6:28 The avalanche danger remains LOW for all elevations today. Some isolated hard wind slabs may still linger in near treeline and above terrain. Triggering these wind slabs has become unlikely, but not impossible for larger triggers or the right trigger on the right slope.  Continue to watch for unstable snow on isolated terrain features.
"
137,"
December 2, 2017 at 6:53 For the daylight hours today, LOW avalanche danger continues for all elevations. Depending on new snowfall amounts, areas of MODERATE avalanche danger may form tonight. A wind slab avalanche problem is expected to develop as winds increase today and new snowfall arrives this evening.
"
138,"
December 1, 2017 at 6:41 Avalanche danger is LOW for all elevations. Small wind slabs could form as winds increase today and tomorrow. Normal caution is appropriate for travel in and around avalanche terrain throughout the forecast area.
"
