Month,Day,Year,Danger Message
April,04,2024,"Most terrain has a LOW danger this morning. As the day heats up, avalanches involving wet snow will become possible on slopes that face E-S-W at all elevations. The danger will rise to MODERATE on these slopes by this afternoon.

Practice safe travel protocol and remember that during LOW danger small avalanches remain possible in isolated areas and extreme terrain."
April,03,2024,"The overall avalanche danger is MODERATE. Slabs of wind-drifted snow exist on all aspects above treeline. Strong NE winds yesterday morning deposited fresh slabs on leeward slopes. Additionally, it is still possible to trigger lingering wind slabs on Northerly aspects that were formed on Sunday.

Solar aspects will start with a LOW danger, but the danger will rise to MODERATE for wet-snow avalanches with daytime heating. Be aware of changing conditions on solar aspects today."
April,02,2024,"A MODERATE avalanche danger exists on steep wind loaded slopes near treeline and above that face NW-N-NE-E.  In these areas, human triggered avalanches involving slabs of wind drifted snow, 12""-18"" deep are possible. Shallower slabs of drifted snow may also be present on southerly aspects above treeline. Look for them on the leeward side of ridge crests and terrain features such as gully walls and sub-ridges. 

Out of the wind zone, the avalanche danger is generally LOW. Small avalanches on isolated terrain features are possible. This includes the potential for small, loose wet avalanches on sun exposed slopes as the day heats up."
April,01,2024,"The avalanche danger is CONSIDERABLE on steep, wind loaded, upper elevation NW-N-NE-E aspects. Human triggered avalanches 12""-18"" deep are likely in these areas. 

The avalanche danger is MODERATE on all other aspects near treeline and above with the greatest danger continuing to be concentrated on northerly facing slopes. On slopes facing the south side of the compass, the danger is not as widespread. In these areas, isolated wind drifts exist next to scoured surfaces, with terrain features making all the difference. 


Travel advice for the day: avoid steep slopes on the north side of the compass, especially above treeline. On all other aspects, avoid steep slopes that have recent deposits of wind drifted snow. The safest, and best turning and riding will be found on sheltered, low angle, northerly aspects."
March,31,2024,"A MODERATE danger exists for human triggered avalanches involving slabs of wind drifted snow, primarily on steep slopes near and above treeline that face NW-NE-SE. Anticipate a rising danger throughout the day if we see accumulating snowfall. Wind slabs may form in unusual places or be located further down slope than you expect. Seek sheltered, low angle terrain for the safest and best skiing and riding today."
March,30,2024,"Most terrain has LOW danger. An isolated or MODERATE danger exists for human triggered avalanches involving slabs of wind drifted snow, primarily on steep, upper elevation slopes that face NW-NE-SE. The danger includes both deeper drifts that formed earlier in the week, as well as shallow, recent deposits of wind drifted snow."
March,29,2024,"Most terrain has LOW danger. An isolated or MODERATE danger exists for human triggered avalanches involving slabs of wind drifted snow, primarily on steep, upper elevation slopes that face NW-NE-SE. The danger includes both deeper drifts that formed earlier in the week, as well as shallow, recent deposits of wind drifted snow."
March,28,2024,"Most terrain has LOW danger. An isolated or MODERATE danger exists on steep, wind drifted slopes above treeline that face NW-NE-SE. If you are looking to ski in the alpine, avoid steep slopes that have pillowy, or wavy looking deposits of wind drifted snow, especially in areas of consequential terrain.

With partly sunny skies and warming temperatures we may see some minor, loose, wet avalanche activity on sun exposed slopes. Signs of instability incliude rollerballs, pinwheels, and sloppy, wet snow."
March,27,2024,"Most slopes offer a LOW avalanche danger today. A MODERATE danger is found above treeline, where recently deposited slabs of wind-drifted snow exist. These slabs will be sensitive to the weight of skiers and riders. If are looking to ski in the alpine, you need to be able to recognize and avoid these fat, pillowy, wavy-looking deposits of wind-drifted snow. 

Today is going to be a beautiful sunny powder day with great turning and riding. Don't forget that heightened avalanche conditions exist on specific terrain features and human-triggered avalanches remain POSSIBLE."
March,26,2024,"Most slopes offer a LOW avalanche danger today. A MODERATE danger is found above treeline, where recently deposited slabs of wind-drifted snow exist. These slabs will be sensitive to the weight of skiers and riders. If are looking to ski in the alpine, you need to be able to recognize and avoid these fat, pillowy, wavy-looking deposits of wind-drifted snow."
March,25,2024,"The overall avalanche danger is MODERATE. Your primary concern today is soft slabs of wind-drifted snow that will be sensitive to the weight of skiers and riders. Fresh drifts will be found on all aspects above treeline, and near treeline on slopes that face NW-N-NE-E. 

The new snow is poorly bonded to hard slick crusts on many slopes, and dry-loose avalanches and shallow soft slab avalanches in the new snow are possible in steep terrain."
March,24,2024,"Snow started falling around 4 a.m. and will hopefully keep accumulating today. Even though winds were decreasing this morning, they blew strong from the south overnight and should increase again as they swing around to the north this afternoon.
For these reasons, the avalanche danger should rise to MODERATE today above treeline where you should be looking for soft slabs of wind drifted snow. Near and below treeline, the danger is LOW."
March,23,2024,"The avalanche danger today is LOW, but conditions are changing. Clouds should limit sunshine from heating the snow and creating any wet snow avalanche concerns. Increasing winds from the south should create shallow slabs of wind drifted snow to watch for and avoid."
March,22,2024,"The avalanche danger is generally LOW. Small avalanches are possible on isolated terrain features or in areas of extreme terrain. 




As the day heats up, be alert to signs of wet instability such as roller balls and pinwheels on sun exposed slopes. Stay off of, and out from under steep slopes if theses signs are present."
March,21,2024,"Most terrain has generally LOW danger. On upper elevation, northerly aspects, particularly in areas of extreme terrain, an isolated, or MODERATE danger exists for avalanches involving slabs of wind drifted snow. Even a small avalanche in these areas can have extreme consequences. 



In isolated areas on northerly aspects near treeline and below, a layer of weak faceted snow exists two feet below the surface. The distribution of this layer is spotty at best, and it has been shown to be non-reactive, but it deserves to be on your radar.

Be alert to signs of wet instability such as roller balls and pinwheels on sun exposed slopes. Stay off of, and out from under steep slopes if theses signs are present."
March,20,2024,"The avalanche danger is MODERATE. Although the likelihood is decreasing, it remains POSSIBLE to trigger avalanches in slabs of wind-drifted snow that formed during the storm on Friday and Saturday. These wind drifts exist near treeline and above on slopes that face NW-N-NE-E. If you are seeking bigger objectives, evaluate each slope carefully.



In isolated areas on northerly aspects near treeline and below, weak faceted snow exists two feet below the surface. The distribution of this layer is spotty at best, but it deserves to be on your radar today."
March,19,2024,"The overall avalanche danger is MODERATE, and there are three different problems to look out for today.

Your primary concern is recently formed slabs of wind-drifted snow that exist near and above treeline on slopes that face NW-N-NE-E. These wind slabs have produced widespread natural activity, and remain sensitive to the weight of skiers and riders.
In isolated areas on northerly aspects near treeline and below, weak faceted snow exists two feet below the surface. The distribution of this layer is spotty at best, but it deserves to be on your radar today.
With a strong March sun and forecast warm temperatures, we'll see a rising MODERATE danger for loose, wet avalanches on sun exposed slopes as the day heats up. Signs of instability include rollerballs, pinwheels, and sloppy wet snow."
March,18,2024,"Human triggered avalanches involving slabs of wind drifted snow are still very possible on steep, wind loaded, northerly aspects near and above treeline, and the danger is strongly MODERATE in these areas. Avoid steep, wind drifted slopes. Dry, loose avalanches may also be possible in steep terrain.
In isolated areas on northerly aspects, a triggered wind slab may step down to a buried weak layer of faceted snow. Far from widespread, this layer has, nevertheless, been popping up from time to time, and the only sure way to know if it's there is to dig for it.
With a strong March sun set to show its face, we'll see a rising MODERATE danger for loose, wet avalanches on sun exposed slopes as the day heats up. Signs of instability include rollerballs, pinwheels, and sloppy wet snow. ​​​​​​"
March,17,2024,"Heavy snowfall and periods of high winds over the past few days caused a spike in avalanche danger. We are now trending down to an overall MODERATE danger for human triggered avalanches involving slabs of wind drifted snow, but areas of CONSIDERABLE danger may still exist on steep, wind loaded, northerly aspects above treeline. Avoid steep, wind drifted slopes, especially those with a northerly component to their aspect. Dry, loose avalanches may also be possible in steep terrain.
In isolated areas on northerly aspects, a triggered wind slab may step down to a buried weak layer of faceted snow. Far from widespread, this has been popping up from time to time, and the only sure way to know if it's there is to dig for it.
If the sun pokes out today, we'll see a MODERATE danger for loose, wet avalanches on sun exposed slopes. Signs of instability include rollerballs, pinwheels, and sloppy wet snow. ​​​​​​"
March,16,2024,"Recent snow accompanied by strong easterly winds have created a CONSIDERABLE avalanche danger on all aspects above treeline, and on steep slopes facing W-NW-N-NE near treeline. Human triggered avalanches involving both slabs of new and wind drifted snow are likely in these areas. As new snow accumulates today, the danger could be become more widespread and drop down in elevation. Be alert to changing conditions. 

A MODERATE avalanche danger exists on all other steep slopes and human triggered avalanches involving both slabs of new and wind drifted snow are possible.


We have been observing an unevenly distributed weak layer of faceted snow on northerly aspects near treeline and below. Avalanches in the most recent snow maybe capable of breaking down to this weak layer. Give the new snow time to adjust before venturing into steep, northerly facing terrain."
March,15,2024,"A storm is on our doorstep, bringing Easterly winds and a good shot of snow stacking up throughout the day. Shifting winds will blow and drift snow onto all aspects near treeline and above and the avalanche danger is MODERATE. Human-triggered avalanches in newly formed soft slabs of wind-drifted snow are POSSIBLE.

On shady slopes, near treeline and below, we are tracking a weak layer of faceted snow that exists about a foot below the surface. The distribution of this layer is spotty at best, but it is found in steep, sparsely treed, Northerly facing terrain. As snow stacks up over the next few days, and the wind blows, this layer is capable of producing avalanches.

There is a bit of uncertainty about how this storm will play out. If precipitation rates exceed the forecasted amounts, be alert to changing conditions and rising avalanche danger. Evaluate snow and terrain carefully."
March,14,2024,"Overnight, winds out of the NW whipped up a fresh round of drifts in alpine terrain. Above treeline, in the wind zone, it is POSSIBLE to trigger avalanches in recently formed soft slabs of wind-drifted snow and the avalanche danger is MODERATE. Hard slabs of wind-drifted snow that formed on Monday exist on Northerly facing slopes in alpine terrain. While the likelihood is decreasing, it remains POSSIBLE to trigger one of these older, hard slabs. All other slopes have a LOW danger.

On shady slopes, near treeline and below, we are tracking a weak layer of faceted snow that exists about 10 inches below the surface. The distribution of this layer is spotty at best, but it is found in steep, sparsely treed, Northerly facing terrain. As snow stacks up over the next few days, and the wind blows, this layer is capable of producing avalanches.

An incoming storm will cause the avalanche danger to rise late this afternoon and into Friday. Savvy backcountry travelers will be stepping-back and reassessing changing conditions as the storm develops."
March,13,2024,"This morning, most terrain offers a LOW danger. You will find a MODERATE danger above treeline on slopes that face NW-N-NE-E, where it is possible to trigger small avalanches in hard slabs of wind-drifted snow.

On shady slopes, near treeline and below, we are tracking a weak layer of faceted snow that exists just below the surface. The distribution of this layer is spotty at best, but it is found in steep, sparsely treed, Northerly facing terrain. As snow stacks up over the next few days, and the wind blows, this layer is capable of producing avalanches.

Incoming storms this week will cause a rise in the avalanche danger. It is no longer open season, and savvy backcountry travelers will be stepping-back and reassessing changing conditions."
March,12,2024,"The avalanche danger is LOW this morning, but increasing winds blowing from the southwest might up the ante later today. Heightened avalanche conditions and MODERATE danger may develop in drifted upper-elevation terrain where people could trigger shallow hard slab avalanches of wind-drifted snow on slopes steeper than 30°.  Periods of heavy snow and drifting by southwest winds will elevate the danger tonight and tomorrow.

Evaluate snow and terrain carefully, especially on high drifted slopes."
March,11,2024,"The avalanche danger is generally LOW. 
LOW danger does not mean NO danger, so don't let your guard down. Although unlikely, you could still trigger a small slide up to a foot deep on isolated slopes near and above treeline. Pay attention to increasing southerly winds as well which could create areas of wind-drifted snow on leeward-facing steep slopes."
March,10,2024,"Today the avalanche danger is LOW. 
Low danger does not mean NO danger, so don't let your guard down. Although unlikely, I think you could still trigger a small slide up to a foot deep on isolated slopes facing NW, N, NE, and E near and above treeline."
March,09,2024,"Today the main concern are slopes near and above treeline facing NW, N, NE, & E where winds drifted just enough snow to make a weak layer near the top of the snowpack able to produce soft slab avalanches about a foot deep. Look for subtle signs of minor drifting where the avalanche danger is MODERATE."
March,08,2024,"The avalanche danger is MODERATE. You may still be able to trigger an avalanche 1'-2' deep where slabs of wind drifted snow exist over weak layers high up in the snowpack, primarily on slopes facing NW-N-NE-E.
In these same areas, there remains a low likelihood - high consequence scenario for human triggered avalanches failing on a persistent weak layer at the base of the snowpack. Minimize your risk by avoiding steep, rocky, thinner snowpack areas and slopes with complex terrain features."
March,07,2024,"The avalanche danger is MODERATE. You can still trigger an avalanche 1'-2' deep where slabs of wind drifted snow exist over faceted weak layers high up in the snowpack, primarily on slopes facing NW-N-NE-E. In these same areas, slabs of wind drifted snow have added stress to a persistent weak layer at the base of the snowpack. Triggering an avalanche this deep is unlikely but the consequences would be devastating. Minimize your risk by avoiding steep, rocky, thinner snowpack areas and slopes with complex terrain features."
March,06,2024,"The avalanche danger is MODERATE and human triggered avalanches involving slabs of wind drifted snow up to 2' deep remain possible, primarily on slopes facing NW-N-NE-E. In these same areas, deep drifts have added stress to a buried persistent weak layer increasing the likelihood for a much deeper avalanche. 

The danger decreases as you wrap around to the southern half of the compass, but isolated, shallower drifts may still be found, especially on slopes facing W and SE.  

Wind slabs are recognizable by their smooth, rounded appearance, and they may sound or feel hollow underneath. Cracking is a sign of instability."
March,05,2024,"The avalanche danger is CONSIDERABLE on steep slopes near treeline and above that face NW-N-E. Human triggered avalanches involving slabs of wind drifted snow up to 2' deep are likely. In these same areas, deep drifts have added stress to a buried persistent weak layer increasing the likelihood for a much deeper avalanche. Backcountry travelers should avoid all steep, wind drifted, northerly facing terrain. 

A MODERATE danger for wind slab avalanches can be found on all other aspects and elevations. Wind drifts are often recognizable by their smooth rounded appearance, and cracking or collapsing is a sign of instability. Avoid steep slopes that have recent deposits of wind drifted snow."
March,04,2024,"Recent snowfall and strong winds blowing from the WSW have created dangerous avalanche conditions. The danger is CONSIDERABLE, and skiers and riders are LIKELY to trigger avalanches in recent deposits of wind-drifted snow. The danger is most pronounced near treeline and above on slopes that face NW-N-E. Strong winds have reached below treeline, and the remaining slopes have a MODERATE danger. It is POSSIBLE to trigger slabs of wind-drifted snow on all aspects and at all elevations.

Persistent weak layers of faceted snow exist at the base of the pack on slopes that face W-N-E-SE. These layers will be stressed and potentially overloaded by blowing and drifting snow and the danger on these slopes is CONSIDERABLE.


Careful snowpack evaluation, cautious route-finding, and conservative decision-making are essential for backcountry travel today."
March,03,2024,"A fast-moving cold front has delivered 8 inches of new snow, strong winds, and an increase in avalanche danger. The danger is CONSIDERABLE. Skiers and riders are LIKELY to trigger avalanches in recent deposits of wind-drifted snow. This problem is most pronounced on leeward slopes that face W-N-E where you can find drifts 12-18 inches deep. Swirling winds deposit fresh drifts around the compass and the remaining slopes have a MODERATE danger. It is POSSIBLE to trigger slabs of wind-drifted snow at all aspects and elevations.

Persistent weak layers of faceted snow exist at the base of the pack on slopes that face W-N-E-SE. These layers will be stressed and potentially overloaded by blowing and drifting snow and the danger on these slopes is CONSIDERABLE.


Careful snowpack evaluation, cautious route-finding, and conservative decision-making are essential for backcountry travel today."
March,02,2024,"The avalanche danger is MODERATE. Human triggered avalanches involving slabs of wind drifted snow are possible on steep slopes facing W-N-E-SE. Look for slabs of wind drifted snow on the leeward sides of ridge crests and terrain features such as gully walls, sub-ridges, and rocky outcrops. 

Human triggered avalanches failing on a deeply buried persistent weak layer remain possible on slopes facing W-N-E-SE. The danger is most pronounced on steep, northerly aspects. This is a low probability/high consequence scenario. You can minimize your risk by avoiding steep, rocky areas and slopes with complex terrain features. 


A mostly LOW danger exists on S-SW aspects. Small avalanches on isolated terrain features are possible."
March,01,2024,"The avalanche danger is MODERATE. Human triggered avalanches failing on a deeply buried persistent weak layer remain possible on slopes facing W-N-SE. The danger is most pronounced on steep, northerly aspects.  This is a low probability/high consequence scenario. You can minimize your risk by avoiding steep, rocky areas and slopes with complex terrain features. 

Human triggered avalanches involving isolated stiff slabs of wind drifted snow are still possible on steep slopes facing W-N-SE. Look for slabs of wind drifted snow on the leeward sides of ridge crests and terrain features such as gully walls, sub-ridges, and rocky outcrops. 


A mostly LOW danger exists on S-SW aspects."
February,29,2024,"The avalanche danger is MODERATE. Human triggered avalanches involving stiff slabs of wind drifted snow are possible on steep slopes facing W-N-SE. Look for slabs of wind drifted snow on the leeward sides of ridge crests and terrain features such as gully walls, sub-ridges, and rocky outcrops. 
A MODERATE danger remains for human triggered avalanches failing on a deeply buried persistent weak layer, also on slopes facing W-N-SE. The danger is most pronounced on steep, northerly aspects. You can minimize your risk by avoiding steep, rocky areas and slopes with complex terrain features. 


A mostly LOW danger exists on S-SW aspects. Small avalanches on isolated terrain features are possible."
February,28,2024,"Strong winds have been all over the map, blowing and drifting recent storm snow into fresh slabs on all aspects near treeline and above. The avalanche danger is MODERATE and it is POSSIBLE for riders to trigger avalanches 6"" to 12"" deep in wind-drifted snow. The danger is most prominent on Northerly aspects where deeper drifts extend further down slope than you might expect.

Although it is becoming less likely, very deep and dangerous avalanches failing on a persistent weak layer remain POSSIBLE on slopes that face W-N-E-SE. The danger is most prominent on slopes that face NW-N-NE-E and you are most likely to trigger one of these avalanches in steep rocky terrain with a shallow snowpack."
February,27,2024,"A quick-moving storm brings very strong winds and a few inches of new snow to the range. The avalanche danger is MODERATE and it is POSSIBLE to trigger avalanches in fresh slabs of wind-drifted snow on all aspects near treeline and above. 

Although it is becoming less likely, very deep and dangerous avalanches failing on a persistent weak layer remain POSSIBLE on slopes that face W-N-E-SE. The danger is most prominent on slopes that face NW-N-NE-E and you are most likely to trigger one of these avalanches in thin snowpack areas."
February,26,2024,"The overall danger remains MODERATE.  Although increasingly unlikely, human-triggered avalanches failing on a buried persistent weak layer remain possible on steep slopes that face W-N-E-SE. The danger is most prominent on steep, northerly aspects. You are most likely to trigger an avalanche in thinner snowpack areas. You can reduce your risk by avoiding steep, rocky areas and slopes with complex terrain features.
Strong southwesterly winds may begin to blow and drift snow into fresh slabs on leeward, northerly aspects today. Expect the problem to become more widespread by tomorrow when new snow overnight has accumulated. 

A generally LOW danger exists on slopes facing S-SW."
February,25,2024,"The overall danger remains MODERATE.  Although increasingly unlikely, human-triggered avalanches failing on a buried persistent weak layer remain possible on steep slopes that face W-N-E-SE. The danger is most prominent on slopes that face NW-N-E. You are most likely to trigger an avalanche in thin snowpack areas. You can reduce your risk by avoiding steep, rocky areas and slopes with complex terrain features.

A generally LOW danger exists on slopes facing S-SW."
February,24,2024,"The overall danger remains MODERATE.  Although increasingly unlikely, human-triggered avalanches failing on a buried persistent weak layer remain possible on steep slopes that face W-N-E-SE. The danger is most prominent on slopes that face NW-N-E. You are most likely to trigger an avalanche in thin snowpack areas. You can reduce your risk by avoiding steep, rocky areas and slopes with complex terrain features.

A generally LOW danger exists on slopes facing S-SW."
February,23,2024,"The overall danger remains MODERATE. Deep and dangerous human-triggered avalanches remain possible on steep slopes that face W-N-E-SE. The danger is most prominent on slopes that face NW-N-E. You are most likely to trigger an avalanche in thin snowpack areas. You can reduce your risk by avoiding steep, rocky areas and slopes with complex terrain features.

Strong southerly winds have produced stiff slabs of wind-drifted snow above treeline where it is possible to trigger small avalanches on slopes that face W-N-SE.


A generally LOW danger exists on slopes facing S-SW."
February,22,2024,"The overall danger remains MODERATE. Deep and dangerous human-triggered avalanches remain possible on steep slopes that face W-N-E-SE. The danger is most prominent on slopes that face NW-N-E. You are most likely to trigger an avalanche in thin snowpack areas. You can reduce your risk by avoiding steep, rocky areas and slopes with complex terrain features.

Strong southerly winds have produced stiff slabs of wind-drifted snow above treeline where it is possible to trigger small avalanches on slopes that face W-N-SE.


A generally LOW danger exists on slopes facing S-SW."
February,21,2024,"Today’s storm will not add significant stress to our buried weak layers and the overall danger remains MODERATE. Deep and dangerous human-triggered avalanches remain possible on steep slopes that face W-N-E-SE. The danger is most prominent on slopes that face NW-N-E. You are most likely to trigger an avalanche in thin snowpack areas. You can reduce your risk by avoiding steep, rocky areas and slopes with complex terrain features.

Strong Southerly winds have produced fresh slabs of wind-drifted snow above treeline where it is possible to trigger small avalanches on slopes that face NW-N-E.


A generally LOW danger exists on slopes facing S-SW."
February,20,2024,"The avalanche danger is MODERATE.  The likelihood continues to decrease, but deep and dangerous human-triggered avalanches failing on a buried persistent weak layer remain possible on steep slopes that face W-N-E-SE with the greatest danger existing on slopes facing NW-N-E. If you venture into avalanche terrain, minimize your risk by avoiding thinner snowpack areas, rocky, radical terrain, and slopes with complex terrain features. 

Strong Southerly winds have produced fresh slabs of wind-drifted snow above treeline where it is possible to trigger small avalanches on slopes that face NW-N-E.


A generally LOW danger exists on slopes facing S-SW."
February,19,2024,"The avalanche danger is MODERATE.  The likelihood continues to decrease but deep and dangerous, human triggered avalanches failing on a buried persistent weak layer remain possible on steep slopes that face W-N-E-SE with the greatest danger existing on slopes facing NW-N-E. If you venture into avalanche terrain, minimize your risk by avoiding thinner snowpack areas; rocky, radical terrain; and slopes with complex terrain features. 

There may be a few shallow slabs of wind drifted snow lurking about on northerly aspects above treeline. Fresh drifts generally have a smooth rounded appearance and cracking is a sign of instability. Older, stiff slabs may sound or feel hollow underneath.


A generally LOW danger exists on slopes facing S-SW."
February,18,2024,"The avalanche danger is MODERATE.  Human triggered avalanches 3'-6' deep, failing on a buried persistent weak layer remain possible on steep slopes that face W-N-E-SE with the greatest danger existing on slopes facing NW-N-E. Although the odds of triggering a deep and dangerous avalanche are decreasing, the consequences remain the same. 

There may be a few shallow slabs of wind drifted snow lurking about on all aspects above treeline. Fresh drifts generally have a smooth rounded appearance and cracking is a sign of instability. Older, stiff slabs may sound or feel hollow underneath.


A generally LOW danger exists on slopes facing S-SW."
February,17,2024,"The avalanche danger is MODERATE. Deep, dangerous, and potentially deadly avalanches 3-6 feet deep, failing on a buried persistent weak layer remain possible on steep slopes that face W-N-E-SE with the greatest danger existing on slopes facing NW-N-E. Although the odds of triggering a slide have dropped, the consequences remain the same. 

A MODERATE danger for human triggered avalanches involving shallow slabs of wind drifted snow exists on all aspects above treeline. Fresh drifts generally have a smooth rounded appearance and cracking is a sign of instability.


A generally LOW danger exists on slopes facing S-SW."
February,16,2024,"The avalanche danger is MODERATE. Deep, dangerous, and potentially deadly avalanches 3-6 feet deep, failing on a buried persistent weak layer remain possible on steep slopes that face W-N-E-SE with the greatest danger existing on slopes facing NW-N-E. And although the odds of triggering a slide have dropped, the consequences remain the same. 
Winds from the south and west over the past few days have built shallow, stiff slabs of wind-drifted snow on leeward facing slopes above treeline. Look for signs of instability such as cracking in the snow surface and avoid areas that sound or feel hollow underneath. 
A LOW danger exists on slopes facing S-SW."
February,15,2024,"The avalanche danger is MODERATE. Deep, dangerous, and potentially deadly avalanches 3-6 feet deep, failing on a buried persistent weak layer remain POSSIBLE on steep slopes that face W-N-SE with the greatest danger existing on slopes facing NW-N-E. And although the odds of triggering a slide have dropped, the consequences remain the same. These are large, hard-slab avalanches that will easily ruin your day, or worse.
An uptick in Southerly winds has produced a round of soft, shallow slabs of wind-drifted snow that will be sensitive to the weight of a rider above treeline on slopes that face W-N-E.
Slopes that face S and SW offer a LOW danger."
February,14,2024,"The avalanche danger is MODERATE. Deep, dangerous, and potentially deadly avalanches 3-6 feet deep, failing on a buried persistent weak layer remain POSSIBLE on steep slopes that face W-N-SE. The odds of triggering a slide have dropped, but the consequences remain the same. These are large, hard-slab avalanches that will easily ruin your day, or worse.
An uptick in Southerly winds has produced a round of soft, shallow slabs of wind-drifted snow that will be sensitive to the weight of a rider above treeline on slopes that face W-N-E.
Slopes that face S and SW offer a LOW danger."
February,13,2024,"The avalanche danger is CONSIDERABLE on above treeline slopes that face NW-N-NE-E where humans are LIKELY to trigger deep and dangerous avalanches failing on a buried persistent weak layer (PWL).


These large avalanches failing on the PWL are POSSIBLE near treeline and below on Northerly aspects and on slopes that face W and SE where there is a MODERATE danger. 


Slopes that face S and SW offer LOW avalanche danger."
February,12,2024,"The avalanche danger remains CONSIDERABLE on steep slopes that face NW-N-NE-E near and above treeline. Although the odds are slowly decreasing, human triggered avalanches 3'-6' deep, failing on a buried persistent weak layer remain likely. Continue to avoid steep, northerly facing terrain. 


A MODERATE danger exists on W and SE facing slopes, and on low elevation northerly aspects. In these areas, human triggered avalanches failing on a buried persistent weak layer are possible. 


Most S and SW facing terrain has generally LOW danger with the exception of maybe some isolated, shallow fresh slabs of wind drifted snow above treeline.  We may also see some rollerballs or pinwheels on sun exposed slopes today but they shouldn't pose much of a threat."
February,11,2024,"The avalanche danger remains CONSIDERABLE on steep slopes that face W-N-E-SE and human triggered avalanches are likely in these areas.  The danger is most acute on slopes facing NW-N-E where recent and wind drifted snow has overloaded buried persistent weak layers deep in the snowpack. Un-survivable, human triggered avalanches 3'-6' deep are likely in these areas. 


A MODERATE danger exists on SW-S facing slopes, and on all slopes facing the south side of the compass at low elevations. In these areas, avalanches involving recent and wind drifted snow are possible. On W and SE aspects, it may be possible to trigger a deeper avalanche."
February,10,2024,"The avalanche danger is CONSIDERABLE on steep slopes that face W-N-E-SE and human triggered avalanches are likely.  The danger is most acute on slopes facing NW-N-E where recent and wind drifted snow has overloaded buried persistent weak layers deep in the snowpack. Un-survivable, human triggered avalanches 3'-6' deep are likely in these areas. 


A MODERATE danger exists on SW-S facing slopes, and on all slopes facing the south side of the compass at low elevations. In these areas, avalanches involving recent and wind drifted snow are possible."
